,name,employees_latest,employees,linkedin_url,launch_year,target,company_status,check
50,Avril,,5001-10000,https://www.linkedin.com/company/1238517,1983.0,1.0,operational,3108.0
141,Enancio,,2-10,https://www.linkedin.com/company/enancio,2017.0,1.0,operational,1.0
520,Uniris,,,https://www.linkedin.com/company/uniris/,,1.0,operational,11.0
590,AUM BIOSYNC,,11-50,https://www.linkedin.com/company/aumbiosync/,2016.0,1.0,operational,17.0
627,Medetia Pharmaceuticals,,2-10,https://www.linkedin.com/company/medetia-pharmaceuticals/,2019.0,1.0,operational,4.0
631,NANOZ,,,https://www.linkedin.com/company/nanozentrum-kassel,,1.0,operational,9.0
741,Noova,,,https://www.linkedin.com/company/9419891,,0.0,acquired,4.0
1001,Archos,,51-200,https://www.linkedin.com/company/archos,1988.0,0.0,operational,147.0
1019,BimBamJob,,,https://www.linkedin.com/company/bimbamjob,,0.0,operational,29.0
1049,Clean Cells,,,https://www.linkedin.com/company/clean-cells,2000.0,0.0,operational,96.0
1081,EFFICIENCIA,,,https://www.linkedin.com/company/efficiencia,,0.0,closed,1.0
1089,Esi Group,,1001-5000,https://www.linkedin.com/company/esi-group,1973.0,0.0,operational,1721.0
1182,Marguerite,,,https://www.linkedin.com/company/9403709,,0.0,operational,7.0
1184,MDB Texinov,,51-200,https://www.linkedin.com/company/1452560,1972.0,0.0,operational,31.0
1227,Peopeo,,,https://www.linkedin.com/company/peopeoboombox/,,0.0,operational,2.0
1506,Le Closet,,11-50,https://www.linkedin.com/company/5208845,2014.0,0.5,operational,31.0
