final_columns,X_cols
age,No_people_input
deal_room_phd,age
employee__linkedin_count,company_has_phd
employees,employees
employees_clean,employees_clean
employees_latest,employees_latest
founder_from_institute,founder_from_institute
founder_has_phd,founder_has_phd
founder_pat_pub,growth_stage
growth_stage_imputed,growth_stage_imputed
health_industry,health_industry
id,id
industries,industries
investors,investors
investors_type,investors_type
launch_year_clean,launch_year
linkedin_url,launch_year_clean
name,linkedin_url
nb_patents,name
no_linkedin_data,nb_patents
phd_linkedin,proportion_technical
phd_total,total_funding_source
technical,
technical_founder,
total_funding_source,
